STNAME,CTYNAME,COUNTYFP,STATE,POPESTIMATE2019,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,cases_jan,deaths_jan,cases_feb,deaths_feb,cases_mar,deaths_mar,cases_apr,deaths_apr,cases_may,deaths_may,cases_jun,deaths_jun,cases_jul,deaths_jul,cases_aug,deaths_aug,cases_sep,deaths_sep,cases_oct,deaths_oct,cases_nov,deaths_nov
Alabama,Autauga County,1001,1,55869,0.053,0.07400000000000001,0.134,0.295,0.444,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,178.0,0.0,316.0,8.0,478.0,9.0,427.0,2.0,349.0,4.0,368.0,4.0,621.0,11.0
Alabama,Baldwin County,1003,1,223234,0.083,0.059000000000000004,0.098,0.32299999999999995,0.436,0.0,0.0,0.0,0.0,0.0,0.0,155.0,3.0,116.0,6.0,390.0,1.0,2421.0,12.0,1444.0,20.0,1095.0,10.0,1300.0,19.0,1950.0,27.0
Alabama,Barbour County,1005,1,24686,0.067,0.121,0.12,0.201,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,158.0,0.0,273.0,4.0,159.0,2.0,139.0,0.0,164.0,2.0,118.0,2.0
Alabama,Bibb County,1007,1,22394,0.02,0.034,0.096,0.278,0.5720000000000001,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,33.0,1.0,95.0,0.0,193.0,1.0,191.0,6.0,110.0,3.0,209.0,4.0,323.0,3.0
Alabama,Blount County,1009,1,57826,0.053,0.114,0.18,0.19399999999999998,0.45899999999999996,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,25.0,1.0,146.0,0.0,559.0,2.0,520.0,8.0,342.0,4.0,445.0,10.0,923.0,15.0
Alabama,Bullock County,1011,1,10101,0.031,0.04,0.14400000000000002,0.28600000000000003,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,196.0,5.0,156.0,6.0,72.0,1.0,114.0,2.0,59.0,1.0,43.0,2.0,49.0,2.0
Alabama,Butler County,1013,1,19448,0.102,0.053,0.257,0.13699999999999998,0.451,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,358.0,17.0,196.0,9.0,146.0,9.0,113.0,1.0,51.0,3.0,105.0,1.0,156.0,1.0
Alabama,Calhoun County,1015,1,113605,0.152,0.10800000000000001,0.13,0.16699999999999998,0.442,0.0,0.0,0.0,0.0,0.0,0.0,84.0,3.0,67.0,0.0,116.0,2.0,1174.0,4.0,1117.0,27.0,1002.0,8.0,1292.0,21.0,1569.0,56.0
Alabama,Chambers County,1017,1,33254,0.11699999999999999,0.037000000000000005,0.15,0.136,0.56,0.0,0.0,0.0,0.0,0.0,0.0,257.0,17.0,62.0,4.0,235.0,3.0,269.0,10.0,174.0,2.0,146.0,2.0,210.0,5.0,390.0,3.0
Alabama,Cherokee County,1019,1,26196,0.135,0.027000000000000003,0.161,0.158,0.52,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,22.0,3.0,37.0,4.0,164.0,1.0,167.0,4.0,215.0,4.0,163.0,-1.0,251.0,9.0
Alabama,Chilton County,1021,1,44428,0.06,0.07,0.057999999999999996,0.19399999999999998,0.618,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,48.0,0.0,113.0,2.0,485.0,3.0,495.0,7.0,415.0,18.0,329.0,2.0,336.0,5.0
Alabama,Choctaw County,1023,1,12589,0.049,0.038,0.126,0.21899999999999997,0.568,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,110.0,8.0,39.0,4.0,84.0,0.0,50.0,0.0,26.0,0.0,43.0,0.0,32.0,1.0
Alabama,Clarke County,1025,1,23622,0.049,0.08800000000000001,0.16399999999999998,0.268,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1.0,121.0,3.0,227.0,4.0,500.0,5.0,117.0,3.0,285.0,0.0,204.0,2.0
Alabama,Clay County,1027,1,13235,0.14800000000000002,0.158,0.195,0.16899999999999998,0.32899999999999996,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,6.0,1.0,26.0,0.0,145.0,3.0,175.0,1.0,219.0,3.0,180.0,3.0,148.0,12.0
Alabama,Cleburne County,1029,1,14910,0.151,0.125,0.138,0.217,0.368,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,15.0,0.0,81.0,0.0,95.0,4.0,202.0,1.0,175.0,3.0,195.0,5.0
