year,month,day,decimal,average,error,ndays
1974,5,19,1974.3795,333.34,8.3335,6
1974,5,26,1974.3986,332.95,8.32375,6
1974,6,2,1974.4178,332.32,8.308,5
1974,6,9,1974.437,332.18,8.3045,7
1974,6,16,1974.4562,332.37,8.30925,7
1974,6,23,1974.4753,331.59,8.28975,6
1974,6,30,1974.4945,331.68,8.292,6
1974,7,7,1974.5137,331.44,8.286,6
1974,7,14,1974.5329,330.85,8.27125,5
1974,7,21,1974.5521,330.76,8.269,7
1974,7,28,1974.5712,329.8,8.245,4
1974,8,4,1974.5904,329.85,8.24625,5
1974,8,11,1974.6096,329.05,8.22625,6
1974,8,18,1974.6288,329.06,8.2265,6
1974,8,25,1974.6479,328.33,8.20825,7
1974,9,1,1974.6671,328.05,8.20125,5
1974,9,8,1974.6863,327.57,8.18925,4
1974,9,15,1974.7055,326.73,8.16825,6
1974,9,22,1974.7247,326.96,8.174,7
1974,9,29,1974.7438,327.31,8.18275,5
1974,10,6,1974.763,327.07,8.17675,6
1974,10,13,1974.7822,327.23,8.18075,5
1974,10,20,1974.8014,327.4,8.185,5
1974,10,27,1974.8205,327.64,8.191,7
1974,11,3,1974.8397,327.8,8.195,7
1974,11,10,1974.8589,328.5,8.2125,6
1974,11,17,1974.8781,328.56,8.214,7
1974,11,24,1974.8973,328.46,8.2115,5
1974,12,1,1974.9164,328.76,8.219,4
1974,12,8,1974.9356,329.39,8.23475,7
1974,12,15,1974.9548,329.77,8.24425,7
1974,12,22,1974.974,329.96,8.249,7
1974,12,29,1974.9932,330.38,8.2595,7
1975,1,5,1975.0123,330.43,8.26075,5
1975,1,12,1975.0315,330.59,8.26475,7
1975,1,19,1975.0507,330.8,8.27,7
1975,1,26,1975.0699,331.22,8.2805,7
1975,2,2,1975.089,331.64,8.291,6
1975,2,9,1975.1082,331.12,8.278,7
1975,2,16,1975.1274,331.41,8.28525,6
1975,2,23,1975.1466,331.96,8.299,7
1975,3,2,1975.1658,331.73,8.29325,3
1975,3,9,1975.1849,331.61,8.29025,5
1975,3,16,1975.2041,332.11,8.30275,5
1975,3,23,1975.2233,331.86,8.2965,4
1975,3,30,1975.2425,333.3,8.3325,5
1975,4,6,1975.2616,332.79,8.31975,5
1975,4,13,1975.2808,333.31,8.33275,4
1975,4,20,1975.3,333.39,8.33475,7
1975,4,27,1975.3192,333.49,8.33725,7
1975,5,4,1975.3384,333.94,8.3485,7
1975,5,11,1975.3575,334.25,8.35625,6
1975,5,18,1975.3767,333.45,8.33625,5
1975,5,25,1975.3959,334,8.35,7
1975,6,1,1975.4151,333.96,8.349,7
1975,6,8,1975.4342,333.32,8.333,5
1975,6,15,1975.4534,333.22,8.3305,7
1975,6,22,1975.4726,333.47,8.33675,6
1975,6,29,1975.4918,333.01,8.32525,6
1975,7,6,1975.511,332.32,8.308,6
1975,7,13,1975.5301,331.83,8.29575,5
1975,7,20,1975.5493,331.36,8.284,4
1975,7,27,1975.5685,331.21,8.28025,5
